,tweet_text,directed_at,sentiment,company,target,clean_tweet,hashtags,mentions
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,Apple,negative,i have a 3g iphone after 3 hrs tweeting at it was dead i need to upgrade plugin stations at,#rise_austin #sxsw,@wesley83
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,Apple,positive,know about awesome ipad iphone app that you'll likely appreciate for its design also they're giving free ts at,#sxsw,@jessedee @fludapp
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,Apple,positive,can not wait for 2 also they should sale them down at,#ipad #sxsw,@swonderlin
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,Apple,negative,i hope this year's festival isn't as crashy as this year's iphone app,#sxsw,@sxsw
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,Google,positive,great stuff on fri marissa mayer google tim o'reilly tech books conferences amp matt mullenweg wordpress,#sxsw,@sxtxstate
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,Unknown,No emotion toward brand or product,Unknown,neutral,new ipad apps for and communication are showcased at the conference http ht ly 49n4m,#speechtherapy #sxsw #iear #edchat #asd,@teachntech00
7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,Google,positive,is just starting is around the corner and is only a hop skip and a jump from there good time to be an fan,#sxsw #ctia #googleio #android,
8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,Apple,positive,beautifully smart and simple idea rt wrote about our ipad app for http bit ly ieavob,#hollergram #sxsw,@madebymany @thenextweb
9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,Apple,positive,counting down the days to plus strong canadian dollar means stock up on apple gear,#sxsw,
11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,Google,positive,find amp start impromptu parties at with http bit ly gvlrin i can't wait til the android app comes out,#sxsw,@hurricaneparty
12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,Google,positive,foursquare ups the game just in time for http j mp grn7pk still prefer by far best looking android app to date,#sxsw,@gowalla
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,Google,positive,gotta love this google calendar featuring top parties show cases to check out rt via gt http bit ly axzwxb,#sxsw,@hamsandwich @ischafer
14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,Apple,positive,great ipad app from http tinyurl com 4nqv92l,#sxsw,@madebymany
15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,Apple,positive,haha awesomely rad ipad app by http bit ly htdfim,#hollergram #sxsw,@madebymany
16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,Unknown,No emotion toward brand or product,Unknown,neutral,holler gram for ipad on the itunes app store http t co kfn3f5q via,#sxsw,@marc_is_ken
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,Apple,negative,i just noticed dst is coming this weekend how many iphone users will be an hour late at sxsw come sunday morning,#sxsw #iphone,
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,Apple,positive,just added my flights to matching people on planes airports also downloaded the iphone app nicely done,#sxsw,@planely @klm
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,Apple,positive,must have app rt lovely review from forbes for our sxsw ipad app holler gram http t co g4gzypv,#sxsw,@malbonster
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,Apple,positive,need to buy an ipad2 while i'm in austin at not sure if i'll need to q up at an austin apple store,#sxsw,
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,Apple,positive,oh my god the app for ipad is pure unadulterated awesome it's easier to browse events on ipad than on the website,#sxsw,
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,Google,positive,okay this is really it yay new for app 11 kthxbai,#android #sxsw,@foursquare
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,Apple,positive,photo just installed the iphone app which is really nice http tumblr com x6t1pi6av7,#sxsw,
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,Google,positive,really enjoying the changes in gowalla 3 0 for android looking forward to seeing what else they amp foursquare have up their sleeves at,#sxsw,
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,Apple,positive,rt i'm looking forward to the pre party wed and hoping i'll win an resulting from my shameless promotion,#smcdallas #sxsw #ipad #chevysmc,@laurieshook
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,Apple,positive,rt haha awesomely rad ipad app by http bit ly htdfim via,#hollergram #sxsw,@madebymany @michaelpiliero
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,Google,positive,someone started an group in google groups pre great idea,#austin #sxsw,@partnerhub
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,Apple,positive,the new looks like it is going to rock update for iphone and android should push tonight http bit ly etsbzk,#4sq3 #sxsw #keepaustinweird,
